cve_id,actual_score,predicted_score,residual,abs_residual,flagged,severity_band
CVE-2008-6585,6.8,5.3235,1.4765,1.4765,True,MEDIUM
CVE-2017-2653,4.1,5.5758,-1.4758,1.4758,True,MEDIUM
CVE-2014-1979,6.8,5.3245,1.4755,1.4755,True,MEDIUM
CVE-2018-17767,6.8,5.325,1.475,1.475,True,MEDIUM
CVE-2025-5682,4.3,5.7747,-1.4747,1.4747,True,MEDIUM
CVE-2019-0042,4.2,5.6724,-1.4724,1.4724,True,MEDIUM
CVE-2024-4217,4.7,6.1724,-1.4724,1.4724,True,MEDIUM
CVE-2020-15966,4.3,5.7722,-1.4722,1.4722,True,MEDIUM
CVE-2013-2703,6.8,5.328,1.472,1.472,True,MEDIUM
CVE-2012-0787,3.7,2.2304,1.4696,1.4696,True,LOW
CVE-2017-8659,4.3,5.7695,-1.4695,1.4695,True,MEDIUM
CVE-2010-3869,4.0,5.4687,-1.4687,1.4687,True,MEDIUM
CVE-2011-2841,6.8,5.3336,1.4664,1.4664,True,MEDIUM
CVE-2024-21738,4.1,5.5655,-1.4655,1.4655,True,MEDIUM
CVE-2020-13603,6.9,5.4346,1.4654,1.4654,True,MEDIUM
CVE-2001-0181,10.0,8.5353,1.4647,1.4647,True,CRITICAL
CVE-2020-15719,4.2,5.6626,-1.4626,1.4626,True,MEDIUM
CVE-2004-1210,6.8,5.3375,1.4625,1.4625,True,MEDIUM
CVE-2024-33501,4.2,5.6625,-1.4625,1.4625,True,MEDIUM
CVE-2007-3480,7.1,8.5622,-1.4622,1.4622,True,HIGH
CVE-2024-29888,4.2,5.6617,-1.4617,1.4617,True,MEDIUM
CVE-2013-3657,7.5,8.9616,-1.4616,1.4616,True,HIGH
CVE-2006-3900,6.8,5.3384,1.4616,1.4616,True,MEDIUM
CVE-2012-6392,10.0,8.5397,1.4603,1.4603,True,CRITICAL
CVE-2025-31990,6.8,5.3409,1.4591,1.4591,True,MEDIUM
CVE-2016-0382,4.0,5.4589,-1.4589,1.4589,True,MEDIUM
CVE-2008-5034,6.9,5.4437,1.4563,1.4563,True,MEDIUM
CVE-2015-6170,6.8,5.3439,1.4561,1.4561,True,MEDIUM
CVE-2012-2844,9.3,7.8443,1.4557,1.4557,True,CRITICAL
CVE-2012-5136,6.8,5.3469,1.4531,1.4531,True,MEDIUM
CVE-2013-2713,6.8,5.348,1.452,1.452,True,MEDIUM
CVE-2017-8723,4.3,5.7516,-1.4516,1.4516,True,MEDIUM
CVE-2006-1370,9.3,7.8497,1.4503,1.4503,True,CRITICAL
CVE-2019-10735,4.3,5.7501,-1.4501,1.4501,True,MEDIUM
CVE-2013-5782,10.0,8.5501,1.4499,1.4499,True,CRITICAL
CVE-2018-1999037,4.3,5.7472,-1.4472,1.4472,True,MEDIUM
CVE-2009-0441,6.8,5.3537,1.4463,1.4463,True,MEDIUM
CVE-2009-3422,6.8,5.3542,1.4458,1.4458,True,MEDIUM
